Timestamp,Укажите ваш пол,"Укажите город, в котором находится ваше учебное заведение","Укажите название учебного заведения, в котором вы обучаетесь",Укажите номер вашего класса,Время в которое у вас начинаются уроки/пары,Выберите ваш первый любимый предмет,Почему вам нравится этот предмет?,Ваш второй любимый предмет,Почему вам нравится этот предмет?,Сколько часов вы тратите в день на домашнее задание?,Сколько времени вы тратите на самообучение(не связанного с домашним заданием)?,,,Как вы оцениваете чистоту вашей школы (по десятибалльной шкале)?,Как вы оцениваете столовую в вашей школе (по десятибалльной шкале)?,"Как вы оцениваете прилегающую территорию вашей школы, в том числе и стадион (по десятибалльной шкале)?",Как вы оцениваете спортивный зал и инвентарь в вашей школе(по десятибальной шкале)?,Насколько вы в целом удовлетворены своим учебным заведением?,Как вы оцениваете своё желание учиться в вашем учебном заведении на данный момент (по десятибалльной шкале)?,Сколько в среднем вы спите по будням?,Делаете ли вы утром зарядку?,Сколько времени у вас занимает дорога от дома до школы?,На сколько баллов(от 1 до 10) вы оцениваете своё рабочее состояние в течение дня?,Когда вы делаете домашнее задание?,
2018/03/31 7:55:03 PM GMT+3,Мужской,,,10,8:30,математика,Оба варианта,иностранный язык,Мне интересен сам предмет,1-3 часа,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,8:00,Нет,30,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/01 12:05:10 PM GMT+3,Мужской,,,11,8:30,математика,Мне интересен сам предмет,иностранный язык,Мне интересен сам предмет,1-3 часа,до 3 часов в неделю,,,,,,,Немного неудовлетворен/на,Небольшое,5:00,Нет,13,Терпимое,Комбинированно,Гимназия 22
2018/04/01 12:11:55 PM GMT+3,Мужской,,,10,9:00,математика,Мне интересен сам предмет,иностранный язык,Мне интересен сам предмет,1-3 часа,больше 7 часов в неделю,,,,,,,Слегка удовлетворен/на,Небольшое,7:10,Да,35,Терпимое,Комбинированно,Школа 61
2018/04/01 5:02:17 PM GMT+3,Мужской,,,10,8:30,математика,Мне интересен сам предмет,астрономия,Мне интересен сам предмет,до 1 часа,больше 7 часов в неделю,,,,,,,Немного неудовлетворен/на,Небольшое,7:00,Да,40,Терпимое,Комбинированно,Лицей БГУ
2018/04/03 8:10:25 PM GMT+3,Женский,,,10,8:30,белорусская литература,Оба варианта,русская литература,Оба варианта,1-3 часа,Не занимаюсь вообще,,,,,,,Очень удовлетворен/на,Сильное,7:00,Нет,35,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:10:50 PM GMT+3,Женский,,,11,8:30,иностранный язык,Мне интересен сам предмет,математика,Мне интересен сам предмет,1-3 часа,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,7:00,Нет,35,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:11:06 PM GMT+3,Женский,,,10,8:30,математика,Мне интересен сам предмет,информатика,Его интересно преподают,1-3 часа,от 3 до 7 в неделю,,,,,,,Сильно неудовлетворен/на,Сильное,7:00,Нет,30,Терпимое,Комбинированно,Лицей БГУ
2018/04/03 8:11:14 PM GMT+3,Женский,,,10,8:30,обществоведение,Оба варианта,иностранный язык,Его интересно преподают,1-3 часа,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,"6:00, 7:00",Нет,50,Отличное,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:12:43 PM GMT+3,Мужской,,,11,8:30,математика,Оба варианта,физкультура,Оба варианта,1-3 часа,больше 7 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,8:00,Нет,40,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:14:12 PM GMT+3,Женский,,,11,8:30,белорусская литература,Оба варианта,русская литература,Оба варианта,больше 3 часов,до 3 часов в неделю,,,,,,,Слегка удовлетворен/на,Сильное,6:30,Нет,5,Терпимое,Комбинированно,Лицей БГУ
2018/04/03 8:14:48 PM GMT+3,Мужской,,,11,8:30,белорусская литература,Оба варианта,обществоведение,Оба варианта,до 1 часа,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,5:00,Нет,40,Терпимое,Комбинированно,Ліцэй БДУ
2018/04/03 8:15:10 PM GMT+3,Женский,,,10,8:30,биология,Мне интересен сам предмет,химия,Его интересно преподают,больше 3 часов,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Нет,30,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:15:44 PM GMT+3,Мужской,,,11,8:30,всемирная история,Оба варианта,белорусская литература,Оба варианта,1-3 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,7:00,Да,30,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:16:22 PM GMT+3,Женский,,,10,8:30,информатика,Оба варианта,математика,Мне интересен сам предмет,до 1 часа,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Нет,45,Терпимое,Комбинированно,Лицей БГУ
2018/04/03 8:17:09 PM GMT+3,Мужской,,,10,8:30,информатика,Мне интересен сам предмет,математика,Мне интересен сам предмет,до 1 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:30,Нет,40,Терпимое,Комбинированно,Лицей БГУ
2018/04/03 8:17:57 PM GMT+3,Женский,,,11,8:30,биология,Его интересно преподают,физкультура,Мне интересен сам предмет,больше 3 часов,больше 7 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Нет,60,Терпимое,Комбинированно,Лицей БГУ
2018/04/03 8:19:02 PM GMT+3,Женский,,,10,8:30,белорусская литература,Его интересно преподают,иностранный язык,Мне интересен сам предмет,1-3 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Нет,50,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:19:44 PM GMT+3,Женский,,,10,8:30,всемирная история,Оба варианта,обществоведение,Его интересно преподают,больше 3 часов,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Нет,25,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:22:04 PM GMT+3,Женский,,,11,8:30,белорусская литература,Его интересно преподают,математика,Мне интересен сам предмет,больше 3 часов,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Небольшое,7,Нет,15,Отличное,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:22:49 PM GMT+3,Женский,,,10,8:30,химия,Оба варианта,математика,Мне интересен сам предмет,1-3 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,7:00,Нет,45,Отличное,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:23:26 PM GMT+3,Женский,,,10,8:30,иностранный язык,Оба варианта,математика,Оба варианта,1-3 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,8:00,Нет,10,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:23:49 PM GMT+3,Мужской,,,10,8:30,физика,Оба варианта,информатика,Оба варианта,1-3 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:30,Нет,10,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:24:33 PM GMT+3,Мужской,,,11,8:30,информатика,Оба варианта,математика,Оба варианта,больше 3 часов,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,5:00,Нет,50,Отличное,В течение дня(за день перед уроком),Лицей ЬГУ
2018/04/03 8:25:11 PM GMT+3,Женский,,,11,8:30,физкультура,Мне интересен сам предмет,белорусская литература,Его интересно преподают,1-3 часа,Не занимаюсь вообще,,,,,,,Очень удовлетворен/на,Небольшое,5:30,Нет,35,Плохое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:25:23 PM GMT+3,Мужской,,,10,8:30,физика,Оба варианта,математика,Оба варианта,до 1 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,7.3,Да,40,Отличное,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:25:28 PM GMT+3,Женский,,,10,8:30,биология,Оба варианта,физика,Мне интересен сам предмет,1-3 часа,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,8:00,Нет,25,Отличное,В течение дня(за день перед уроком),Лицей БГУ 
2018/04/03 8:27:35 PM GMT+3,Женский,,,10,8:30,белорусская литература,Оба варианта,белорусский язык,Оба варианта,больше 3 часов,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,8:00,Нет,10,Терпимое,В течение дня(за день перед уроком),Лицей БГУ 
2018/04/03 8:27:54 PM GMT+3,Женский,,,11,8:30,русская литература,Мне интересен сам предмет,русский язык,Мне интересен сам предмет,больше 3 часов,от 3 до 7 в неделю,,,,,,,Нейтрально,Сильное,6:30,Нет,35,Плохое,В течение дня(за день перед уроком),лицей бгу 
2018/04/03 8:30:50 PM GMT+3,Женский,,,11,8:30,всемирная история,Оба варианта,биология,Оба варианта,больше 3 часов,больше 7 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Нет,25,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:30:59 PM GMT+3,Женский,,,11,8:30,физика,Мне интересен сам предмет,астрономия,Оба варианта,до 1 часа,больше 7 часов в неделю,,,,,,,Слегка удовлетворен/на,Небольшое,7:00,Нет,60,Терпимое,Комбинированно,Лицей бгу 
2018/04/03 8:31:50 PM GMT+3,Женский,,,10,8:30,математика,Мне интересен сам предмет,иностранный язык,Мне интересен сам предмет,больше 3 часов,больше 7 часов в неделю,,,,,,,Слегка удовлетворен/на,Сильное,4:00,Нет,40,Плохое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:32:44 PM GMT+3,Женский,,,10,8:30,белорусская литература,Оба варианта,информатика,Мне интересен сам предмет,до 1 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:40,Нет,30,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:32:53 PM GMT+3,Женский,,,10,8:30,биология,Оба варианта,иностранный язык,Мне интересен сам предмет,больше 3 часов,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Нет,40,Терпимое,Комбинированно,Лицей БГУ 
2018/04/03 8:32:56 PM GMT+3,Женский,,,10,8:30,русская литература,Его интересно преподают,биология,Мне интересен сам предмет,больше 3 часов,до 3 часов в неделю,,,,,,,Немного неудовлетворен/на,Нет желания,5:00,Нет,10,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:34:44 PM GMT+3,Женский,,,11,8:30,русская литература,Оба варианта,иностранный язык,Оба варианта,1-3 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,7:00,Нет,45,Отличное,Комбинированно,Лицей БГУ
2018/04/03 8:38:59 PM GMT+3,Женский,,,10,8:30,математика,Оба варианта,информатика,Оба варианта,1-3 часа,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:30,Нет,50,Отличное,Комбинированно,Лицей БГУ
2018/04/03 8:39:37 PM GMT+3,Женский,,,10,8:30,математика,Оба варианта,химия,Оба варианта,1-3 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Нет,40,Терпимое,Комбинированно,Лицей бгу
2018/04/03 8:42:00 PM GMT+3,Женский,,,10,8:30,физика,Оба варианта,математика,Мне интересен сам предмет,больше 3 часов,больше 7 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,8:00,Нет,60,Отличное,Комбинированно,Лицей БГУ 
2018/04/03 8:42:07 PM GMT+3,Женский,,,10,8:30,белорусская литература,Его интересно преподают,информатика,Мне интересен сам предмет,1-3 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Нет,35,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:43:40 PM GMT+3,Женский,,,10,8:30,белорусская литература,Оба варианта,белорусский язык,Оба варианта,больше 3 часов,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Нет,50,Терпимое,Комбинированно,Лицей БГУ
2018/04/03 8:45:13 PM GMT+3,Женский,,,11,8:30,иностранный язык,Мне интересен сам предмет,история Беларуси,Оба варианта,больше 3 часов,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Небольшое,6:00,Нет,30,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:45:40 PM GMT+3,Женский,,,10,8:30,белорусская литература,Хороший преподаватель,русская литература,Мне интересен сам предмет,до 1 часа,больше 7 часов в неделю,,,,,,,Слегка удовлетворен/на,Небольшое,6:00,Нет,40,Терпимое,В течение дня(за день перед уроком),Лицей БГУ
2018/04/03 8:45:59 PM GMT+3,Женский,,,11,8:30,белорусский язык,Оба варианта,иностранный язык,Оба варианта,больше 3 часов,от 3 до 7 в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Да,45,Терпимое,Комбинированно,Лицей БГУ
2018/04/03 8:47:06 PM GMT+3,Женский,,,11,8:30,русская литература,Оба варианта,математика,Мне интересен сам предмет,больше 3 часов,Не занимаюсь вообще,,,,,,,Слегка удовлетворен/на,Сильное,4:30,Нет,40,Отличное,Комбинированно,Лицей БГУ 
2018/04/03 8:47:12 PM GMT+3,Женский,,,11,8:30,русская литература,Оба варианта,математика,Мне интересен сам предмет,больше 3 часов,Не занимаюсь вообще,,,,,,,Слегка удовлетворен/на,Сильное,4:30,Нет,40,Отличное,Комбинированно,Лицей БГУ 
2018/04/03 8:47:17 PM GMT+3,Женский,,,11,8:30,русская литература,Оба варианта,математика,Мне интересен сам предмет,больше 3 часов,Не занимаюсь вообще,,,,,,,Слегка удовлетворен/на,Сильное,4:30,Нет,40,Отличное,Комбинированно,Лицей БГУ 
2018/04/03 8:48:19 PM GMT+3,Женский,,,10,8:30,черчение,Оба варианта,физика,Оба варианта,1-3 часа,до 3 часов в неделю,,,,,,,Очень удовлетворен/на,Сильное,6:00,Нет,50,Терпимое,Комбинированно,Лицей БГУ
